n,measured_time_milliseconds,average_error,population_size,mutation_rate,crossover_rate,tournament_size,num_elites,crossover_type,num_generations
30,12257,0.0125876,30,0.05,0.95,4,5,ONE_POINT,50
30,24093,0.00732037,30,0.05,0.95,4,5,ONE_POINT,100
30,7284,0.0186224,30,0.05,0.95,4,5,TWO_POINT,30
30,11914,0.0118536,30,0.05,0.95,4,5,TWO_POINT,50
30,23845,0.00587212,30,0.05,0.95,4,5,TWO_POINT,100
30,8794,0.0148878,30,0.05,0.95,6,1,ONE_POINT,30
30,14392,0.00850639,30,0.05,0.95,6,1,ONE_POINT,50
30,27831,0.00486864,30,0.05,0.95,6,1,ONE_POINT,100
30,8555,0.0164739,30,0.05,0.95,6,1,TWO_POINT,30
30,14327,0.00764358,30,0.05,0.95,6,1,TWO_POINT,50
30,27356,0.00456078,30,0.05,0.95,6,1,TWO_POINT,100
30,8918,0.0175482,30,0.05,0.95,6,3,ONE_POINT,30
30,14384,0.0114744,30,0.05,0.95,6,3,ONE_POINT,50
30,28521,0.00725313,30,0.05,0.95,6,3,ONE_POINT,100
30,8483,0.0151485,30,0.05,0.95,6,3,TWO_POINT,30
30,15367,0.0116603,30,0.05,0.95,6,3,TWO_POINT,50
30,28078,0.00543095,30,0.05,0.95,6,3,TWO_POINT,100
30,8732,0.0175073,30,0.05,0.95,6,5,ONE_POINT,30
30,14459,0.0136608,30,0.05,0.95,6,5,ONE_POINT,50
30,29565,0.00803811,30,0.05,0.95,6,5,ONE_POINT,100
30,9085,0.017636,30,0.05,0.95,6,5,TWO_POINT,30
30,14937,0.011337,30,0.05,0.95,6,5,TWO_POINT,50
30,27946,0.00682313,30,0.05,0.95,6,5,TWO_POINT,100
30,6778,0.0743626,30,0.1,0.8,2,1,ONE_POINT,30
30,11007,0.0596984,30,0.1,0.8,2,1,ONE_POINT,50
30,21074,0.0461096,30,0.1,0.8,2,1,ONE_POINT,100
30,6097,0.0720134,30,0.1,0.8,2,1,TWO_POINT,30
30,10178,0.0601647,30,0.1,0.8,2,1,TWO_POINT,50
30,19512,0.0451754,30,0.1,0.8,2,1,TWO_POINT,100
30,6243,0.0534718,30,0.1,0.8,2,3,ONE_POINT,30
30,10889,0.0422939,30,0.1,0.8,2,3,ONE_POINT,50
30,20317,0.0255952,30,0.1,0.8,2,3,ONE_POINT,100
30,6019,0.0551691,30,0.1,0.8,2,3,TWO_POINT,30
30,9870,0.0366378,30,0.1,0.8,2,3,TWO_POINT,50
30,20273,0.0256279,30,0.1,0.8,2,3,TWO_POINT,100
30,6399,0.0456029,30,0.1,0.8,2,5,ONE_POINT,30
30,10490,0.0315039,30,0.1,0.8,2,5,ONE_POINT,50
30,21995,0.0182434,30,0.1,0.8,2,5,ONE_POINT,100
30,6162,0.0438415,30,0.1,0.8,2,5,TWO_POINT,30
30,10429,0.0297083,30,0.1,0.8,2,5,TWO_POINT,50
30,20121,0.0180448,30,0.1,0.8,2,5,TWO_POINT,100
30,7481,0.0443563,30,0.1,0.8,4,1,ONE_POINT,30
30,12252,0.0341126,30,0.1,0.8,4,1,ONE_POINT,50
30,25332,0.0257888,30,0.1,0.8,4,1,ONE_POINT,100
30,7397,0.0432468,30,0.1,0.8,4,1,TWO_POINT,30
30,12353,0.0352383,30,0.1,0.8,4,1,TWO_POINT,50
30,24128,0.0234826,30,0.1,0.8,4,1,TWO_POINT,100
30,8014,0.032081,30,0.1,0.8,4,3,ONE_POINT,30
30,13400,0.0224405,30,0.1,0.8,4,3,ONE_POINT,50
30,24937,0.0110826,30,0.1,0.8,4,3,ONE_POINT,100
30,7347,0.0341613,30,0.1,0.8,4,3,TWO_POINT,30
30,12087,0.020173,30,0.1,0.8,4,3,TWO_POINT,50
30,25060,0.0132425,30,0.1,0.8,4,3,TWO_POINT,100
30,7645,0.0279115,30,0.1,0.8,4,5,ONE_POINT,30
30,12766,0.0174825,30,0.1,0.8,4,5,ONE_POINT,50
30,25010,0.00906819,30,0.1,0.8,4,5,ONE_POINT,100
30,7393,0.0293515,30,0.1,0.8,4,5,TWO_POINT,30
30,13143,0.016762,30,0.1,0.8,4,5,TWO_POINT,50
30,24175,0.0106137,30,0.1,0.8,4,5,TWO_POINT,100
30,8746,0.0322238,30,0.1,0.8,6,1,ONE_POINT,30
30,14711,0.0264538,30,0.1,0.8,6,1,ONE_POINT,50
30,28753,0.0129015,30,0.1,0.8,6,1,ONE_POINT,100
30,8899,0.0335215,30,0.1,0.8,6,1,TWO_POINT,30
30,14341,0.0256303,30,0.1,0.8,6,1,TWO_POINT,50
30,28556,0.014178,30,0.1,0.8,6,1,TWO_POINT,100
30,8837,0.0240248,30,0.1,0.8,6,3,ONE_POINT,30
30,14843,0.0155734,30,0.1,0.8,6,3,ONE_POINT,50
30,30388,0.0103941,30,0.1,0.8,6,3,ONE_POINT,100
30,9593,0.025289,30,0.1,0.8,6,3,TWO_POINT,30
30,14877,0.017964,30,0.1,0.8,6,3,TWO_POINT,50
30,28091,0.0113806,30,0.1,0.8,6,3,TWO_POINT,100
30,8751,0.0236019,30,0.1,0.8,6,5,ONE_POINT,30
30,14305,0.0157121,30,0.1,0.8,6,5,ONE_POINT,50
30,28801,0.00909043,30,0.1,0.8,6,5,ONE_POINT,100
30,8719,0.0233423,30,0.1,0.8,6,5,TWO_POINT,30
30,15002,0.0163856,30,0.1,0.8,6,5,TWO_POINT,50
30,28306,0.00819028,30,0.1,0.8,6,5,TWO_POINT,100
30,6408,0.0725918,30,0.1,0.9,2,1,ONE_POINT,30
30,9977,0.0619753,30,0.1,0.9,2,1,ONE_POINT,50
30,19973,0.0453749,30,0.1,0.9,2,1,ONE_POINT,100
30,5985,0.0713311,30,0.1,0.9,2,1,TWO_POINT,30
30,9876,0.0584927,30,0.1,0.9,2,1,TWO_POINT,50
30,20959,0.0489265,30,0.1,0.9,2,1,TWO_POINT,100
30,6839,0.0520916,30,0.1,0.9,2,3,ONE_POINT,30
30,11209,0.0409866,30,0.1,0.9,2,3,ONE_POINT,50
30,21938,0.0232254,30,0.1,0.9,2,3,ONE_POINT,100
30,6712,0.0550863,30,0.1,0.9,2,3,TWO_POINT,30
30,9879,0.0408126,30,0.1,0.9,2,3,TWO_POINT,50
30,19786,0.0276938,30,0.1,0.9,2,3,TWO_POINT,100
30,6296,0.0442613,30,0.1,0.9,2,5,ONE_POINT,30
30,10202,0.0307095,30,0.1,0.9,2,5,ONE_POINT,50
30,20326,0.0195686,30,0.1,0.9,2,5,ONE_POINT,100
30,5700,0.0450617,30,0.1,0.9,2,5,TWO_POINT,30
